# YaV1 aerial-enforcement watchlist (starter set)
#
# Format: icao_hex,registration,agency,model
# Lines starting with '#' are comments. Matching is case-insensitive on the
# ICAO hex (Mode S) address first, then on the registration / callsign.
#
# Sources:
#  - FAA Releasable Aircraft Registry database (registry.faa.gov/database/ReleasableAircraft.zip),
#    snapshot downloaded 2026-07-14. Entries are all aircraft whose registrant NAME matches
#    HIGHWAY PATROL / STATE PATROL / STATE POLICE / DEPT[ARTMENT] OF PUBLIC SAFETY.
#    The MODE S CODE HEX column is the FAA-assigned ICAO 24-bit address.
#  - Cross-checked against the community list github.com/sdr-enthusiasts/plane-alert-db
#    (plane-alert-pol.csv), which tags e.g. Texas DPS PC-12 "Spectre" and Ohio/Alaska
#    aircraft as "Speed Enforced by Aircraft".
#
# Caveats: this list is state-level law-enforcement aviation in general. Fixed-wing
# Cessna 172/182/206, GA8 and PC-12 airframes are the usual traffic-enforcement
# platforms; helicopters are mostly patrol/medevac and rarely run speed traps.
# Registrations change owners over time - refresh from the FAA registry periodically.
# Users can extend this list in <app storage>/aircraft/enforcement_user.csv
A2467E,N246CC,Alaska Department Of Public Safety,Cessna U206G
A71FC4,N5582C,Alaska Department Of Public Safety,Piper PA-18-150
AD05C6,N9380N,Alaska Department Of Public Safety,Cessna A185F
AD2266,N9452N,Alaska Department Of Public Safety,Cessna A185F
AB3861,N822AZ,Arizona Department Of Public Safety,Bell Textron Canada Ltd 429
ACC1F9,N921AZ,Arizona Department Of Public Safety,Beech B200
A695B1,N523SP,Arkansas State Police,Cessna T206H
A69968,N524SP,Arkansas State Police,Bell Helicopter Textron Canada 407
A095EF,N137HP,California Highway Patrol,Gippsaero Pty Ltd GA8 TC-320
A09D5D,N139HP,California Highway Patrol,Gippsaero Pty Ltd GA8 TC-320
A0A36D,N140HP,California Highway Patrol,Gippsaero Pty Ltd GA8 TC-320
A0D611,N153HP,California Highway Patrol,Gippsaero Pty Ltd GA8 TC-320
A0E136,N156HP,California Highway Patrol,Gippsaero Pty Ltd GA8 TC-320
A0EC5B,N159HP,California Highway Patrol,Gippsaero Pty Ltd GA8 TC-320
A19A2E,N202HP,California Highway Patrol,Textron Aviation Inc 208B
A28ADF,N263HP,California Highway Patrol,Textron Aviation Inc 208
A54F11,N441HP,California Highway Patrol,Cessna T206H
A5567F,N443HP,California Highway Patrol,Cessna T206H
A665E3,N511HP,California Highway Patrol,Cessna T206H
A66D51,N513HP,California Highway Patrol,Cessna T206H
A703DF,N551HP,California Highway Patrol,Cessna T206H
A70B4D,N553HP,California Highway Patrol,Cessna T206H
A8B8AD,N661HP,California Highway Patrol,Cessna T206H
